hotel,is_canceled,lead_time,arrival_date_month,adults,children,country,agent,company,adr
Resort Hotel,0,342,July,2,0.0,PRT,,,0.0
Resort Hotel,0,737,July,2,0.0,PRT,,,0.0
Resort Hotel,0,7,July,1,0.0,GBR,,,75.0
Resort Hotel,0,13,July,1,0.0,GBR,304.0,,75.0
Resort Hotel,0,14,July,2,0.0,GBR,240.0,,98.0
Resort Hotel,0,14,July,2,0.0,GBR,240.0,,98.0
Resort Hotel,0,0,July,2,0.0,PRT,,,107.0
Resort Hotel,0,9,July,2,0.0,PRT,303.0,,103.0
Resort Hotel,1,85,July,2,0.0,PRT,240.0,,82.0
Resort Hotel,1,75,July,2,0.0,PRT,15.0,,105.5
Resort Hotel,1,23,July,2,0.0,PRT,240.0,,123.0
Resort Hotel,0,35,July,2,0.0,PRT,240.0,,145.0
Resort Hotel,0,68,July,2,0.0,USA,240.0,,97.0
Resort Hotel,0,18,July,2,1.0,ESP,241.0,,154.77
Resort Hotel,0,37,July,2,0.0,PRT,241.0,,94.71
Resort Hotel,0,68,July,2,0.0,IRL,240.0,,97.0
Resort Hotel,0,37,July,2,0.0,PRT,8.0,,97.5
Resort Hotel,0,12,July,2,0.0,IRL,240.0,,88.2
Resort Hotel,0,0,July,2,0.0,FRA,,110.0,107.42
Resort Hotel,0,7,July,2,0.0,GBR,250.0,,153.0
Resort Hotel,0,37,July,1,0.0,GBR,241.0,,97.29
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,84.67
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,84.67
Resort Hotel,0,72,July,2,0.0,PRT,250.0,,99.67
Resort Hotel,0,127,July,2,0.0,GBR,115.0,,94.95
Resort Hotel,0,78,July,2,0.0,PRT,5.0,,63.6
Resort Hotel,0,48,July,2,0.0,IRL,8.0,,79.5
Resort Hotel,1,60,July,2,0.0,PRT,240.0,,107.0
Resort Hotel,0,77,July,2,0.0,PRT,240.0,,94.0
Resort Hotel,0,99,July,2,0.0,PRT,240.0,,87.3
Resort Hotel,0,118,July,1,0.0,,,,62.0
Resort Hotel,0,95,July,2,0.0,GBR,241.0,,63.86
Resort Hotel,1,96,July,2,0.0,PRT,,,108.3
Resort Hotel,0,69,July,2,0.0,IRL,175.0,,65.5
Resort Hotel,1,45,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,1,40,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,0,15,July,2,0.0,ESP,240.0,,98.0
Resort Hotel,0,36,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,1,43,July,3,0.0,PRT,241.0,,108.8
Resort Hotel,0,70,July,2,0.0,ROU,250.0,,137.0
Resort Hotel,1,45,July,2,0.0,PRT,241.0,,117.81
Resort Hotel,0,45,July,2,0.0,IRL,8.0,,79.5
Resort Hotel,0,16,July,2,0.0,ESP,,,123.0
Resort Hotel,0,70,July,2,0.0,ROU,250.0,,137.0
Resort Hotel,0,107,July,2,0.0,PRT,240.0,,110.7
Resort Hotel,1,47,July,2,2.0,PRT,240.0,,153.0
Resort Hotel,0,96,July,2,0.0,ESP,134.0,,58.95
